PoE Capable Ports,Ports 1-8,Ports 1-8,-,Ports 1-24,Ports 1-24,-,Ports 1-48,Ports 1-48,-,-,-,-,-,Ports 1-8,Ports 1-24,Ports 1-48,-,Ports 1-8,,,,,,,,,,,,,
Power-over-Ethernet,802.3af,802.3af/at,,802.3af/at,802.3af/at,,802.3af/at,802.3af/at,-,-,-,-,,802.3af/at/bt,802.3af/at,802.3af/at,,802.3af/at/bt,,,,,,,,,,,,,
Total PoE Budget,55W,130W,-,240w,410w,-,410w,740w,-,-,-,-,-,240w,410w,740w,-,420w,,,,,,,,,,,,,
Form Factor,9.45” (desktop),13” 1U,19” 1U,19” 1U,19” 1U,19” 1U,19” 1U,19” 1U,9.45” (desktop),,9.45” (desktop),desktop,13” 1U,13” 1U,19” 1U,19” 1U,13” 1U,13” 1U,,,,,,,,,,,,,
Switching Capacity,16Gbps,24Gbps,128Gbps,128Gbps,128Gbps,176Gbps,176Gbps,176Gbps,20Gbps,80Gbps,40Gbps,80Gbps,120Gbps,120Gbps,152Gbps,224Gbps,240Gbps,240Gbps,,,,,,,,,,,,,
MAC Address Table,8K,8K,16K,16K,16K,32K,32K,32K,16K,16K,16K,16K,16k,16k,16k,32k,32k,32k,,,,,,,,,,,,,
Packet Buffer Memory,512KB,512KB,1.5MB,1.5MB,1.5MB,2MB,2MB,2MB,,,,,512KB,512KB,1.5MB,2MB,2MB,2MB,,,,,,,,,,,,,
Full load Power consumption,62.05 Watts,152.8 Watts,24.41 Watts,297.6 Watts,500.46 Watts,43.92 Watts,476.3 Watts,885 Watts,11.38 Watts,,13.81 Watts,22.79 Watts,23.52 Watts,299 Watts,499.85 Watts,913 Watts,29.22 Watts,506.7 Watts,,,,,,,,,,,,,
Dimension,240mm x 105mm x 27mm,330mm x 230mm x 44mm,440mm x 200mm x 44mm,440mm x 260mm x 44mm,440mm x 260mm x 44mm,440mm x 260mm x 44mm,440mm x 310mm x 44mm,440mm x 310mm x 44mm,170 mm x 105 mm x 27 mm,,170 mm x 105 mm x 27 mm,240mm x 105mm x 27mm,330mm x 230mm x 44mm,330mm x 230mm x 44mm,440mm x 260mm x 44mm,440mm x 310mm x 44mm,330mm x 230mm x 44mm,330mm x 230mm x 44mm,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
